cnae_code,cnae_description
6920-6/01,Atividades de Contabilidade
6920-6/02,Atividades de Consultoria e Auditoria Contábil e Tributária
7020-4/00,"Atividades de Consultoria em Gestão Empresarial, Exceto Consultoria Técnica Específica"
8219-9/99,Preparação de Documentos e Serviços Especializados de Apoio Administrativo não Especificados Anteriormente
8291-1/00,Atividades de Cobranças e Informações Cadastrais
8599-6/04,Treinamento em Desenvolvimento Profissional e Gerencial
