cnae_code,cnae_description
8211-3/00,Serviços combinados de escritório e apoio administrativo
6204-0/00,Consultoria em tecnologia da informação
6920-6/01,Atividades de contabilidade
7020-4/00,Atividades de consultoria em gestão empresarial
7311-4/00,Agências de publicidade
