cnae,risco,codigo_louos,enquadramento1,perguntas,regras,condicionantes
1072-4/02,ALTO,07.12.13,nR1-12,11,47,1|30
1081-3/01,ALTO,09.02.42,ID3-02 (subgrupo 2),11,49,1|3|4|6|7|8|10
1081-3/01,ALTO,07.12.13,nR1-12,11,49,1|30
1081-3/02,ALTO,09.02.46,ID3-02 (subgrupo 2),11,49,1|3|4|6|7|8|10
1081-3/02,ALTO,07.12.13,nR1-12,11,49,1|30
1082-1/00,ALTO,09.02.23,ID3-02 (subgrupo 1),11,49,1|3|4|6|7|8|10
1082-1/00,ALTO,07.12.13,nR1-12,11,49,1|30
1091-1/01,ALTO,09.02.02,ID1-02,11,46,1|3|4|6|7|8|10
1091-1/01,ALTO,07.12.13,nR1-12,11,46,1|30
1091-1/02,ALTO,09.02.02,ID1-02,2|3,6|7,1|3|4|6|7|8|10
1091-1/02,BAIXO RISCO,07.09.02,nR1-09,2|3,6|7,1|3|4|6
1091-1/02,BAIXO RISCO,07.12.13,nR1-12,2|3,6|7,1|30
1092-9/00,ALTO,09.02.03,ID1-02,2|3,6|7,1|3|4|6|7|8|10
1092-9/00,BAIXO RISCO,07.09.02,nR1-09,2|3,6|7,1|3|4|6
1092-9/00,BAIXO RISCO,07.12.13,nR1-12,2|3,6|7,1|30
1093-7/01,ALTO,09.02.04,ID1-02,2|3,6|7,1|3|4|6|7|8|10
1093-7/01,BAIXO RISCO,07.09.02,nR1-09,2|3,6|7,1|3|4|6
1093-7/01,BAIXO RISCO,07.12.13,nR1-12,2|3,6|7,1|30
1093-7/02,ALTO,09.02.04,ID1-02,2|3,6|7,1|3|4|6|7|8|10
1093-7/02,BAIXO RISCO,07.09.02,nR1-09,2|3,6|7,1|3|4|6
1093-7/02,BAIXO RISCO,07.12.13,nR1-12,2|3,6|7,1|30
1094-5/00,ALTO,09.02.09,ID1-02,2|3,56|57,1|3|4|6|7|8|10
1094-5/00,ALTO,09.02.11,ID3-02 (subgrupo 1),2|3,56|57,1|3|4|6|7|8|10
