cnae,risco,codigo_louos,enquadramento1,perguntas,regras,condicionantes
1742-7/99,BAIXO RISCO,07.12.13,nR1-12,2|3,58|59,1|30
1749-4/00,ALTO,09.16.01,ID1-16,2|3,58|59,1|3|4|7|8|10
1749-4/00,MÉDIO RISCO,07.09.17,nR1-09,2|3,58|59,1|3|4
1749-4/00,BAIXO RISCO,07.12.13,nR1-12,2|3,58|59,1|30
1811-3/01,MÉDIO RISCO,07.12.09,nR1-12,11,60,1|3
1811-3/01,ALTO,09.06.02,ID3-06,11,60,1|3|7|8|10
1811-3/01,BAIXO RISCO,07.12.13,nR1-12,11,60,1|2
1811-3/02,MÉDIO RISCO,2009-12-07,nR1-12,11,60,1|3
1811-3/02,BAIXO RISCO,07.12.13,nR1-12,11,60,1|2
1811-3/02,ALTO,09.06.02,ID3-06,11,60,1|3|7|8|10
1812-1/00,MÉDIO RISCO,07.12.09,nR1-12,11,60,1|3
1812-1/00,BAIXO RISCO,07.12.13,nR1-12,11,60,1|2
1812-1/00,ALTO,09.06.02,ID3-06,11,60,1|3|7|8|10
1813-0/01,MÉDIO RISCO,07.12.09,nR1-12,11,60,1|3
1813-0/01,ALTO,09.06.02,ID3-06,11,60,1|3|7|8|10
1813-0/01,BAIXO RISCO,07.12.13,nR1-12,11,60,1|2
1813-0/99,MÉDIO RISCO,07.12.09,nR1-12,11,60,1|3
1813-0/99,BAIXO RISCO,07.12.13,nR1-12,11,60,1|2
