cnae,grupo,subgrupo,area_min,area_max,observacao
0311-6/01,nR2,nR2-12,1250.01,,07.12.13
0311-6/02,nR1,nR1-12,0,1250,07.12.13
0311-6/02,nR2,nR2-12,1250.01,,07.12.13
0311-6/03,nR1,nR1-12,0,1250,07.12.13
0311-6/03,nR2,nR2-12,1250.01,,07.12.13
0311-6/04,nR1,nR1-12,0,1250,07.12.13
0311-6/04,nR2,nR2-12,1250.01,,07.12.13
0312-4/01,nR1,nR1-12,0,1250,07.12.13
0312-4/01,nR2,nR2-12,1250.01,,07.12.13
0312-4/02,nR1,nR1-12,0,1250,07.12.13
0312-4/02,nR2,nR2-12,1250.01,,07.12.13
0312-4/03,nR1,nR1-12,0,1250,07.12.13
0312-4/03,nR2,nR2-12,1250.01,,07.12.13
0312-4/04,nR1,nR1-12,0,1250,07.12.13
0312-4/04,nR2,nR2-12,1250.01,,07.12.13
0321-3/01,nRa,nRa-02,0,,08A.02.06
0321-3/02,nRa,nRa-02,0,,08A.02.06
0321-3/03,nRa,nRa-02,0,,08A.02.06
0321-3/04,nRa,nRa-02,0,,08A.02.06
0321-3/05,nR1,nR1-12,0,1250,07.12.13
0321-3/05,nR2,nR2-12,1250.01,,07.12.13
0321-3/99,nRa,nRa-02,0,,08A.02.06
0322-1/01,nRa,nRa-02,0,,08A.02.06
0322-1/02,nRa,nRa-02,0,,08A.02.06
0322-1/03,nRa,nRa-02,0,,08A.02.06
0322-1/04,nRa,nRa-02,0,,08A.02.06
0322-1/05,nRa,nRa-02,0,,08A.02.06
0322-1/06,nRa,nRa-02,0,,08A.02.06
0322-1/07,nR1,nR1-12,0,1250,07.12.13
0322-1/07,nR2,nR2-12,1250.01,,07.12.13
0322-1/99,nRa,nRa-02,0,,08A.02.06
0500-3/01,ID3,ID3-07,0,,09.07.05
0500-3/02,ID3,ID3-14,0,,09.14.09
0600-0/01,ID3,ID3-07,0,,09.07.05
0600-0/02,ID3,ID3-07,0,,09.07.10
0600-0/03,ID3,ID3-07,0,,09.07.10
0710-3/01,ID3,ID3-07,0,,09.07.10
0710-3/02,ID3,ID3-07,0,,09.17.09
0721-9/01,ID3,ID3-07,0,,09.07.06
0721-9/02,ID3,ID3-13,0,,09.13.04
0722-7/01,ID3,ID3-07,0,,09.07.06
0722-7/02,ID3,ID3-13,0,,09.13.11
0723-5/01,ID3,ID3-07,0,,09.07.06
0723-5/02,ID3,ID3-13,0,,09.13.11
0724-3/01,ID3,ID3-07,0,,09.07.09
0724-3/02,ID3,ID3-13,0,,09.13.05
0725-1/00,ID3,ID3-07,0,,09.07.07
0729-4/01,ID3,ID3-07,0,,09.07.06
0729-4/02,ID3,ID3-07,0,,09.07.06
0729-4/03,ID3,ID3-07,0,,09.07.06
0729-4/04,ID3,ID3-07,0,,09.07.06
0729-4/05,ID3,ID3-13,0,,09.13.11
0810-0/01,ID3,ID3-07,0,,09.07.10
0810-0/02,ID3,ID3-07,0,,09.07.10
0810-0/03,ID3,ID3-07,0,,09.07.10
0810-0/04,ID3,ID3-07,0,,09.07.10
0810-0/05,ID3,ID3-07,0,,09.07.10
0810-0/06,ID3,ID3-07,0,,09.07.10
0810-0/07,ID3,ID3-07,0,,09.07.10
0810-0/08,ID3,ID3-07,0,,09.07.10
0810-0/09,ID3,ID3-07,0,,09.07.10
0810-0/10,ID1,ID1-14,0,,09.14.02
0810-0/99,ID3,ID3-07,0,,09.07.10
0891-6/00,ID3,ID3-07,0,,09.07.07
0892-4/01,ID3,ID3-07,0,,09.07.08
0892-4/02,ID3,ID3-07,0,,09.07.08
0892-4/03,ID3,ID3-14,0,,09.14.09
0893-2/00,ID3,ID3-07,0,,09.07.09
0899-1/01,ID3,ID3-07,0,,09.07.07
0899-1/02,ID3,ID3-07,0,,09.07.07
0899-1/03,ID3,ID3-07,0,,09.07.07
0899-1/99,ID3,ID3-07,0,,09.07.07
0910-6/00,nR1,nR1-12,0,1250,07.12.13
0910-6/00,nR2,nR2-12,1250.01,,07.12.13
0990-4/01,nR1,nR1-12,0,1250,07.12.13
0990-4/01,nR2,nR2-12,1250.01,,07.12.13
0990-4/02,nR1,nR1-12,0,1250,07.12.13
0990-4/02,nR2,nR2-12,1250.01,,07.12.13
0990-4/03,nR1,nR1-12,0,1250,07.12.13
0990-4/03,nR2,nR2-12,1250.01,,07.12.13
1011-2/01,ID3,ID3-01,0,,09.01.01
1011-2/02,ID3,ID3-01,0,,09.01.01
1011-2/03,ID3,ID3-01,0,,09.01.01
1011-2/04,ID3,ID3-01,0,,09.01.01
1011-2/05,ID3,ID3-01,0,,09.01.01
1012-1/01,ID3,ID3-01,0,,09.01.03
1012-1/02,ID3,ID3-01,0,,09.01.03
1012-1/03,ID3,ID3-01,0,,09.01.03
1012-1/04,ID3,ID3-01,0,,09.01.03
1013-9/01,nR1,nR1-09,0,,07.09.02
1013-9/02,nR1,nR1-09,0,,07.09.02
1020-1/01,nR1,nR1-09,0,,07.09.02
1020-1/02,nR1,nR1-09,0,,07.09.02
1031-7/00,nR1,nR1-09,0,,07.09.02
1032-5/01,nR1,nR1-09,0,,07.09.02
1032-5/99,nR1,nR1-09,0,,07.09.02
1033-3/01,nR1,nR1-09,0,,07.09.02
1033-3/02,nR1,nR1-09,0,,07.09.02
1041-4/00,ID2,ID2-07,0,,09.07.03
1042-2/00,ID3,ID3-02,0,,09.02.14
1043-1/00,ID3,ID3-02,0,,09.02.15
1051-1/00,nR1,nR1-09,0,,07.09.02
1052-0/00,nR1,nR1-09,0,,07.09.02
1053-8/00,nR1,nR1-09,0,,07.09.02
1061-9/01,ID3,ID3-02,0,,09.02.40
1061-9/02,nR1,nR1-09,0,,07.09.02
1062-7/00,ID3,ID3-02,0,,09.02.17
1063-5/00,nR1,nR1-09,0,,07.09.02
1064-3/00,nR1,nR1-09,0,,07.09.02
1065-1/01,nR1,nR1-09,0,,07.09.02
1065-1/02,ID3,ID3-02,0,,09.02.41
1065-1/03,ID3,ID3-02,0,,09.02.41
1066-0/00,nR1,nR1-09,0,,07.09.02
1069-4/00,ID3,ID3-02,0,,09.02.26
1071-6/00,ID3,ID3-02,0,,09.02.43
1072-4/01,ID3,ID3-02,0,,09.02.22
1072-4/02,ID3,ID3-02,0,,09.02.22
1081-3/01,ID3,ID3-02,0,,09.02.42
1081-3/02,ID3,ID3-02,0,,09.02.46
1082-1/00,ID3,ID3-02,0,,09.02.23
1091-1/01,ID1,ID1-02,0,,09.02.02
1091-1/02,nR1,nR1-09,0,,07.09.02
1092-9/00,nR1,nR1-09,0,,07.09.02
1093-7/01,nR1,nR1-09,0,,07.09.02
1093-7/02,nR1,nR1-09,0,,07.09.02
1094-5/00,nR1,nR1-09,0,,07.09.02
1095-3/00,nR1,nR1-09,0,,07.09.02
1096-1/00,nR1,nR1-09,0,,07.09.02
1099-6/01,ID1,ID1-02,0,,09.02.05
1099-6/02,ID3,ID3-02,0,,09.02.33
1099-6/03,ID1,ID1-02,0,,09.02.06
1099-6/04,nR1,nR1-09,0,,07.09.02
1099-6/05,nR1,nR1-09,0,,07.09.02
1099-6/06,ID3,ID3-02,0,,09.02.49
1099-6/07,nR1,nR1-09,0,,07.09.02
1099-6/99,nR1,nR1-09,0,,07.09.02
