classe_via,grupo_uso,condicoes,base_legal
VC I,ID2-07,Sim,Lei nº 9.148/2016 — Quadro 11A
VA II,ID2-07,Sim,Lei nº 9.148/2016 — Quadro 11A
VA I,ID2-07,Sim,Lei nº 9.148/2016 — Quadro 11A
VE,ID2-07,Sim,Lei nº 9.148/2016 — Quadro 11A
VP,ID2-09,Não,Lei nº 9.148/2016 — Quadro 11A
VL,ID2-09,Não,Lei nº 9.148/2016 — Quadro 11A
VC II,ID2-09,Sim,Lei nº 9.148/2016 — Quadro 11A
VC I,ID2-09,Sim,Lei nº 9.148/2016 — Quadro 11A
VA II,ID2-09,Sim,Lei nº 9.148/2016 — Quadro 11A
VA I,ID2-09,Sim,Lei nº 9.148/2016 — Quadro 11A
VE,ID2-09,Sim,Lei nº 9.148/2016 — Quadro 11A
VP,ID2-10,Não,Lei nº 9.148/2016 — Quadro 11A
VL,ID2-10,Não,Lei nº 9.148/2016 — Quadro 11A
VC II,ID2-10,Sim,Lei nº 9.148/2016 — Quadro 11A
VC I,ID2-10,Sim,Lei nº 9.148/2016 — Quadro 11A
VA II,ID2-10,Sim,Lei nº 9.148/2016 — Quadro 11A
VA I,ID2-10,Sim,Lei nº 9.148/2016 — Quadro 11A
VE,ID2-10,Sim,Lei nº 9.148/2016 — Quadro 11A
VP,ID2-11,Não,Lei nº 9.148/2016 — Quadro 11A
VL,ID2-11,Não,Lei nº 9.148/2016 — Quadro 11A
VC II,ID2-11,Sim,Lei nº 9.148/2016 — Quadro 11A
VC I,ID2-11,Sim,Lei nº 9.148/2016 — Quadro 11A
VA II,ID2-11,Sim,Lei nº 9.148/2016 — Quadro 11A
VA I,ID2-11,Sim,Lei nº 9.148/2016 — Quadro 11A
VE,ID2-11,Sim,Lei nº 9.148/2016 — Quadro 11A
VP,ID2-12,Não,Lei nº 9.148/2016 — Quadro 11A
VL,ID2-12,Não,Lei nº 9.148/2016 — Quadro 11A
VC II,ID2-12,Sim,Lei nº 9.148/2016 — Quadro 11A
VC I,ID2-12,Sim,Lei nº 9.148/2016 — Quadro 11A
VA II,ID2-12,Sim,Lei nº 9.148/2016 — Quadro 11A
VA I,ID2-12,Sim,Lei nº 9.148/2016 — Quadro 11A
VE,ID2-12,Sim,Lei nº 9.148/2016 — Quadro 11A
VP,ID2-15,Não,Lei nº 9.148/2016 — Quadro 11A
VL,ID2-15,Não,Lei nº 9.148/2016 — Quadro 11A
VC II,ID2-15,Sim,Lei nº 9.148/2016 — Quadro 11A
VC I,ID2-15,Sim,Lei nº 9.148/2016 — Quadro 11A
VA II,ID2-15,Sim,Lei nº 9.148/2016 — Quadro 11A
VA I,ID2-15,Sim,Lei nº 9.148/2016 — Quadro 11A
VE,ID2-15,Sim,Lei nº 9.148/2016 — Quadro 11A
VP,ID2-18,Não,Lei nº 9.148/2016 — Quadro 11A
VL,ID2-18,Não,Lei nº 9.148/2016 — Quadro 11A
VC II,ID2-18,Sim,Lei nº 9.148/2016 — Quadro 11A
VC I,ID2-18,Sim,Lei nº 9.148/2016 — Quadro 11A
VA II,ID2-18,Sim,Lei nº 9.148/2016 — Quadro 11A
VA I,ID2-18,Sim,Lei nº 9.148/2016 — Quadro 11A
VE,ID2-18,Sim,Lei nº 9.148/2016 — Quadro 11A
VP,ID3-01,Não,Lei nº 9.148/2016 — Quadro 11A
VL,ID3-01,Não,Lei nº 9.148/2016 — Quadro 11A
VC II,ID3-01,Sim,Lei nº 9.148/2016 — Quadro 11A
VC I,ID3-01,Sim,Lei nº 9.148/2016 — Quadro 11A
VA II,ID3-01,Sim,Lei nº 9.148/2016 — Quadro 11A
VA I,ID3-01,Sim,Lei nº 9.148/2016 — Quadro 11A
VE,ID3-01,Sim,Lei nº 9.148/2016 — Quadro 11A
VP,ID3-02,Não,Lei nº 9.148/2016 — Quadro 11A
VL,ID3-02,Não,Lei nº 9.148/2016 — Quadro 11A
VC II,ID3-02,Sim,Lei nº 9.148/2016 — Quadro 11A
VC I,ID3-02,Sim,Lei nº 9.148/2016 — Quadro 11A
VA II,ID3-02,Sim,Lei nº 9.148/2016 — Quadro 11A
VA I,ID3-02,Sim,Lei nº 9.148/2016 — Quadro 11A
VE,ID3-02,Sim,Lei nº 9.148/2016 — Quadro 11A
VP,ID3-03,Não,Lei nº 9.148/2016 — Quadro 11A
VL,ID3-03,Não,Lei nº 9.148/2016 — Quadro 11A
VC II,ID3-03,Sim,Lei nº 9.148/2016 — Quadro 11A
VC I,ID3-03,Sim,Lei nº 9.148/2016 — Quadro 11A
VA II,ID3-03,Sim,Lei nº 9.148/2016 — Quadro 11A
VA I,ID3-03,Sim,Lei nº 9.148/2016 — Quadro 11A
VE,ID3-03,Sim,Lei nº 9.148/2016 — Quadro 11A
VP,ID3-04,Não,Lei nº 9.148/2016 — Quadro 11A
VL,ID3-04,Não,Lei nº 9.148/2016 — Quadro 11A
VC II,ID3-04,Sim,Lei nº 9.148/2016 — Quadro 11A
VC I,ID3-04,Sim,Lei nº 9.148/2016 — Quadro 11A
VA II,ID3-04,Sim,Lei nº 9.148/2016 — Quadro 11A
VA I,ID3-04,Sim,Lei nº 9.148/2016 — Quadro 11A
VE,ID3-04,Sim,Lei nº 9.148/2016 — Quadro 11A
VP,ID3-05,Não,Lei nº 9.148/2016 — Quadro 11A
VL,ID3-05,Não,Lei nº 9.148/2016 — Quadro 11A
VC II,ID3-05,Sim,Lei nº 9.148/2016 — Quadro 11A
VC I,ID3-05,Sim,Lei nº 9.148/2016 — Quadro 11A
VA II,ID3-05,Sim,Lei nº 9.148/2016 — Quadro 11A
VA I,ID3-05,Sim,Lei nº 9.148/2016 — Quadro 11A
VE,ID3-05,Sim,Lei nº 9.148/2016 — Quadro 11A
VP,ID3-06,Não,Lei nº 9.148/2016 — Quadro 11A
VL,ID3-06,Não,Lei nº 9.148/2016 — Quadro 11A
VC II,ID3-06,Sim,Lei nº 9.148/2016 — Quadro 11A
VC I,ID3-06,Sim,Lei nº 9.148/2016 — Quadro 11A
VA II,ID3-06,Sim,Lei nº 9.148/2016 — Quadro 11A
VA I,ID3-06,Sim,Lei nº 9.148/2016 — Quadro 11A
VE,ID3-06,Sim,Lei nº 9.148/2016 — Quadro 11A
VP,ID3-07,Não,Lei nº 9.148/2016 — Quadro 11A
VL,ID3-07,Não,Lei nº 9.148/2016 — Quadro 11A
VC II,ID3-07,Sim,Lei nº 9.148/2016 — Quadro 11A
VC I,ID3-07,Sim,Lei nº 9.148/2016 — Quadro 11A
VA II,ID3-07,Sim,Lei nº 9.148/2016 — Quadro 11A
VA I,ID3-07,Sim,Lei nº 9.148/2016 — Quadro 11A
VE,ID3-07,Sim,Lei nº 9.148/2016 — Quadro 11A
VP,ID3-08,Não,Lei nº 9.148/2016 — Quadro 11A
VL,ID3-08,Não,Lei nº 9.148/2016 — Quadro 11A
VC II,ID3-08,Sim,Lei nº 9.148/2016 — Quadro 11A
VC I,ID3-08,Sim,Lei nº 9.148/2016 — Quadro 11A
VA II,ID3-08,Sim,Lei nº 9.148/2016 — Quadro 11A
VA I,ID3-08,Sim,Lei nº 9.148/2016 — Quadro 11A
VE,ID3-08,Sim,Lei nº 9.148/2016 — Quadro 11A
VP,ID3-11,Não,Lei nº 9.148/2016 — Quadro 11A
VL,ID3-11,Não,Lei nº 9.148/2016 — Quadro 11A
VC II,ID3-11,Sim,Lei nº 9.148/2016 — Quadro 11A
VC I,ID3-11,Sim,Lei nº 9.148/2016 — Quadro 11A
VA II,ID3-11,Sim,Lei nº 9.148/2016 — Quadro 11A
VA I,ID3-11,Sim,Lei nº 9.148/2016 — Quadro 11A
VE,ID3-11,Sim,Lei nº 9.148/2016 — Quadro 11A
VP,ID3-12,Não,Lei nº 9.148/2016 — Quadro 11A
VL,ID3-12,Não,Lei nº 9.148/2016 — Quadro 11A
VC II,ID3-12,Sim,Lei nº 9.148/2016 — Quadro 11A
VC I,ID3-12,Sim,Lei nº 9.148/2016 — Quadro 11A
VA II,ID3-12,Sim,Lei nº 9.148/2016 — Quadro 11A
VA I,ID3-12,Sim,Lei nº 9.148/2016 — Quadro 11A
VE,ID3-12,Sim,Lei nº 9.148/2016 — Quadro 11A
VP,ID3-13,Não,Lei nº 9.148/2016 — Quadro 11A
VL,ID3-13,Não,Lei nº 9.148/2016 — Quadro 11A
VC II,ID3-13,Sim,Lei nº 9.148/2016 — Quadro 11A
VC I,ID3-13,Sim,Lei nº 9.148/2016 — Quadro 11A
VA II,ID3-13,Sim,Lei nº 9.148/2016 — Quadro 11A
VA I,ID3-13,Sim,Lei nº 9.148/2016 — Quadro 11A
VE,ID3-13,Sim,Lei nº 9.148/2016 — Quadro 11A
VP,ID3-14,Não,Lei nº 9.148/2016 — Quadro 11A
VL,ID3-14,Não,Lei nº 9.148/2016 — Quadro 11A
VC II,ID3-14,Sim,Lei nº 9.148/2016 — Quadro 11A
VC I,ID3-14,Sim,Lei nº 9.148/2016 — Quadro 11A
VA II,ID3-14,Sim,Lei nº 9.148/2016 — Quadro 11A
VA I,ID3-14,Sim,Lei nº 9.148/2016 — Quadro 11A
VE,ID3-14,Sim,Lei nº 9.148/2016 — Quadro 11A
VP,ID3-16,Não,Lei nº 9.148/2016 — Quadro 11A
VL,ID3-16,Não,Lei nº 9.148/2016 — Quadro 11A
VC II,ID3-16,Sim,Lei nº 9.148/2016 — Quadro 11A
VC I,ID3-16,Sim,Lei nº 9.148/2016 — Quadro 11A
VA II,ID3-16,Sim,Lei nº 9.148/2016 — Quadro 11A
VA I,ID3-16,Sim,Lei nº 9.148/2016 — Quadro 11A
VE,ID3-16,Sim,Lei nº 9.148/2016 — Quadro 11A
VP,ID3-17,Não,Lei nº 9.148/2016 — Quadro 11A
VL,ID3-17,Não,Lei nº 9.148/2016 — Quadro 11A
VC II,ID3-17,Sim,Lei nº 9.148/2016 — Quadro 11A
VC I,ID3-17,Sim,Lei nº 9.148/2016 — Quadro 11A
VA II,ID3-17,Sim,Lei nº 9.148/2016 — Quadro 11A
VA I,ID3-17,Sim,Lei nº 9.148/2016 — Quadro 11A
VE,ID3-17,Sim,Lei nº 9.148/2016 — Quadro 11A
VP,ID3-19,Não,Lei nº 9.148/2016 — Quadro 11A
VL,ID3-19,Não,Lei nº 9.148/2016 — Quadro 11A
VC II,ID3-19,Sim,Lei nº 9.148/2016 — Quadro 11A
VC I,ID3-19,Sim,Lei nº 9.148/2016 — Quadro 11A
VA II,ID3-19,Sim,Lei nº 9.148/2016 — Quadro 11A
VA I,ID3-19,Sim,Lei nº 9.148/2016 — Quadro 11A
VE,ID3-19,Sim,Lei nº 9.148/2016 — Quadro 11A
VP,ID3-20,Não,Lei nº 9.148/2016 — Quadro 11A
VL,ID3-20,Não,Lei nº 9.148/2016 — Quadro 11A
VC II,ID3-20,Sim,Lei nº 9.148/2016 — Quadro 11A
VC I,ID3-20,Sim,Lei nº 9.148/2016 — Quadro 11A
VA II,ID3-20,Sim,Lei nº 9.148/2016 — Quadro 11A
VA I,ID3-20,Sim,Lei nº 9.148/2016 — Quadro 11A
VE,ID3-20,Sim,Lei nº 9.148/2016 — Quadro 11A
VP,ID3-21,Não,Lei nº 9.148/2016 — Quadro 11A
VL,ID3-21,Não,Lei nº 9.148/2016 — Quadro 11A
VC II,ID3-21,Sim,Lei nº 9.148/2016 — Quadro 11A
VC I,ID3-21,Sim,Lei nº 9.148/2016 — Quadro 11A
VA II,ID3-21,Sim,Lei nº 9.148/2016 — Quadro 11A
VA I,ID3-21,Sim,Lei nº 9.148/2016 — Quadro 11A
VE,ID3-21,Sim,Lei nº 9.148/2016 — Quadro 11A
