classe_via,grupo_uso,condicoes,base_legal
VC I,nRa-03,Objeto de análise particularizada pela CNLU,Lei nº 9.148/2016 — Quadro 11A
VA II,nRa-03,Objeto de análise particularizada pela CNLU,Lei nº 9.148/2016 — Quadro 11A
VA I,nRa-03,Objeto de análise particularizada pela CNLU,Lei nº 9.148/2016 — Quadro 11A
VE,nRa-03,Objeto de análise particularizada pela CNLU,Lei nº 9.148/2016 — Quadro 11A
VP,nRa-04,Objeto de análise particularizada pela CNLU,Lei nº 9.148/2016 — Quadro 11A
VL,nRa-04,Objeto de análise particularizada pela CNLU,Lei nº 9.148/2016 — Quadro 11A
VC II,nRa-04,Objeto de análise particularizada pela CNLU,Lei nº 9.148/2016 — Quadro 11A
VC I,nRa-04,Objeto de análise particularizada pela CNLU,Lei nº 9.148/2016 — Quadro 11A
VA II,nRa-04,Objeto de análise particularizada pela CNLU,Lei nº 9.148/2016 — Quadro 11A
VA I,nRa-04,Objeto de análise particularizada pela CNLU,Lei nº 9.148/2016 — Quadro 11A
VE,nRa-04,Objeto de análise particularizada pela CNLU,Lei nº 9.148/2016 — Quadro 11A
VP,nRa-05,Objeto de análise particularizada pela CNLU,Lei nº 9.148/2016 — Quadro 11A
VL,nRa-05,Objeto de análise particularizada pela CNLU,Lei nº 9.148/2016 — Quadro 11A
VC II,nRa-05,Objeto de análise particularizada pela CNLU,Lei nº 9.148/2016 — Quadro 11A
VC I,nRa-05,Objeto de análise particularizada pela CNLU,Lei nº 9.148/2016 — Quadro 11A
VA II,nRa-05,Objeto de análise particularizada pela CNLU,Lei nº 9.148/2016 — Quadro 11A
VA I,nRa-05,Objeto de análise particularizada pela CNLU,Lei nº 9.148/2016 — Quadro 11A
VE,nRa-05,Objeto de análise particularizada pela CNLU,Lei nº 9.148/2016 — Quadro 11A
VP,nR1-01,Sim,Lei nº 9.148/2016 — Quadro 11A
VL,nR1-01,Sim,Lei nº 9.148/2016 — Quadro 11A
VC II,nR1-01,Sim,Lei nº 9.148/2016 — Quadro 11A
VC I,nR1-01,Sim,Lei nº 9.148/2016 — Quadro 11A
VA II,nR1-01,Sim,Lei nº 9.148/2016 — Quadro 11A
VA I,nR1-01,Sim,Lei nº 9.148/2016 — Quadro 11A
VE,nR1-01,Sim,Lei nº 9.148/2016 — Quadro 11A
VP,nR1-02,Sim,Lei nº 9.148/2016 — Quadro 11A
VL,nR1-02,Sim,Lei nº 9.148/2016 — Quadro 11A
VC II,nR1-02,Sim,Lei nº 9.148/2016 — Quadro 11A
VC I,nR1-02,Sim,Lei nº 9.148/2016 — Quadro 11A
VA II,nR1-02,Sim,Lei nº 9.148/2016 — Quadro 11A
VA I,nR1-02,Sim,Lei nº 9.148/2016 — Quadro 11A
VE,nR1-02,Sim,Lei nº 9.148/2016 — Quadro 11A
VP,nR1-03,Sim,Lei nº 9.148/2016 — Quadro 11A
VL,nR1-03,Sim,Lei nº 9.148/2016 — Quadro 11A
VC II,nR1-03,Sim,Lei nº 9.148/2016 — Quadro 11A
VC I,nR1-03,Sim,Lei nº 9.148/2016 — Quadro 11A
VA II,nR1-03,Sim,Lei nº 9.148/2016 — Quadro 11A
VA I,nR1-03,Sim,Lei nº 9.148/2016 — Quadro 11A
VE,nR1-03,Sim,Lei nº 9.148/2016 — Quadro 11A
VP,nR1-04,Sim,Lei nº 9.148/2016 — Quadro 11A
VL,nR1-04,Sim,Lei nº 9.148/2016 — Quadro 11A
VC II,nR1-04,Sim,Lei nº 9.148/2016 — Quadro 11A
VC I,nR1-04,Sim,Lei nº 9.148/2016 — Quadro 11A
VA II,nR1-04,Sim,Lei nº 9.148/2016 — Quadro 11A
VA I,nR1-04,Sim,Lei nº 9.148/2016 — Quadro 11A
VE,nR1-04,Sim,Lei nº 9.148/2016 — Quadro 11A
VP,nR1-05,Sim,Lei nº 9.148/2016 — Quadro 11A
VL,nR1-05,Sim,Lei nº 9.148/2016 — Quadro 11A
VC II,nR1-05,Sim,Lei nº 9.148/2016 — Quadro 11A
VC I,nR1-05,Sim,Lei nº 9.148/2016 — Quadro 11A
VA II,nR1-05,Sim,Lei nº 9.148/2016 — Quadro 11A
VA I,nR1-05,Sim,Lei nº 9.148/2016 — Quadro 11A
VE,nR1-05,Sim,Lei nº 9.148/2016 — Quadro 11A
VP,nR1-06,Sim,Lei nº 9.148/2016 — Quadro 11A
VL,nR1-06,Sim,Lei nº 9.148/2016 — Quadro 11A
VC II,nR1-06,Sim,Lei nº 9.148/2016 — Quadro 11A
VC I,nR1-06,Sim,Lei nº 9.148/2016 — Quadro 11A
VA II,nR1-06,Sim,Lei nº 9.148/2016 — Quadro 11A
VA I,nR1-06,Sim,Lei nº 9.148/2016 — Quadro 11A
VE,nR1-06,Sim,Lei nº 9.148/2016 — Quadro 11A
VP,nR1-07,Sim,Lei nº 9.148/2016 — Quadro 11A
VL,nR1-07,Sim,Lei nº 9.148/2016 — Quadro 11A
VC II,nR1-07,Sim,Lei nº 9.148/2016 — Quadro 11A
VC I,nR1-07,Sim,Lei nº 9.148/2016 — Quadro 11A
VA II,nR1-07,Sim,Lei nº 9.148/2016 — Quadro 11A
VA I,nR1-07,Sim,Lei nº 9.148/2016 — Quadro 11A
VE,nR1-07,Sim,Lei nº 9.148/2016 — Quadro 11A
VP,nR1-08,Sim,Lei nº 9.148/2016 — Quadro 11A
VL,nR1-08,Sim,Lei nº 9.148/2016 — Quadro 11A
VC II,nR1-08,Sim,Lei nº 9.148/2016 — Quadro 11A
VC I,nR1-08,Sim,Lei nº 9.148/2016 — Quadro 11A
VA II,nR1-08,Sim,Lei nº 9.148/2016 — Quadro 11A
VA I,nR1-08,Sim,Lei nº 9.148/2016 — Quadro 11A
VE,nR1-08,Sim,Lei nº 9.148/2016 — Quadro 11A
VP,nR1-09,Sim,Lei nº 9.148/2016 — Quadro 11A
VL,nR1-09,Sim,Lei nº 9.148/2016 — Quadro 11A
VC II,nR1-09,Sim,Lei nº 9.148/2016 — Quadro 11A
VC I,nR1-09,Sim,Lei nº 9.148/2016 — Quadro 11A
VA II,nR1-09,Sim,Lei nº 9.148/2016 — Quadro 11A
VA I,nR1-09,Sim,Lei nº 9.148/2016 — Quadro 11A
VE,nR1-09,Sim,Lei nº 9.148/2016 — Quadro 11A
VP,nR1-10,Sim,Lei nº 9.148/2016 — Quadro 11A
VL,nR1-10,Sim,Lei nº 9.148/2016 — Quadro 11A
VC II,nR1-10,Sim,Lei nº 9.148/2016 — Quadro 11A
VC I,nR1-10,Sim,Lei nº 9.148/2016 — Quadro 11A
VA II,nR1-10,Sim,Lei nº 9.148/2016 — Quadro 11A
VA I,nR1-10,Sim,Lei nº 9.148/2016 — Quadro 11A
VE,nR1-10,Sim,Lei nº 9.148/2016 — Quadro 11A
VP,nR1-12,Sim,Lei nº 9.148/2016 — Quadro 11A
VL,nR1-12,Sim,Lei nº 9.148/2016 — Quadro 11A
VC II,nR1-12,Sim,Lei nº 9.148/2016 — Quadro 11A
VC I,nR1-12,Sim,Lei nº 9.148/2016 — Quadro 11A
VA II,nR1-12,Sim,Lei nº 9.148/2016 — Quadro 11A
VA I,nR1-12,Sim,Lei nº 9.148/2016 — Quadro 11A
VE,nR1-12,Sim,Lei nº 9.148/2016 — Quadro 11A
VP,nR1-13,Sim,Lei nº 9.148/2016 — Quadro 11A
VL,nR1-13,Sim,Lei nº 9.148/2016 — Quadro 11A
VC II,nR1-13,Sim,Lei nº 9.148/2016 — Quadro 11A
VC I,nR1-13,Sim,Lei nº 9.148/2016 — Quadro 11A
VA II,nR1-13,Sim,Lei nº 9.148/2016 — Quadro 11A
VA I,nR1-13,Sim,Lei nº 9.148/2016 — Quadro 11A
VE,nR1-13,Sim,Lei nº 9.148/2016 — Quadro 11A
VP,nR2-01,Sim,Lei nº 9.148/2016 — Quadro 11A
VL,nR2-01,Sim,Lei nº 9.148/2016 — Quadro 11A
VC II,nR2-01,Sim,Lei nº 9.148/2016 — Quadro 11A
VC I,nR2-01,Sim,Lei nº 9.148/2016 — Quadro 11A
VA II,nR2-01,Sim,Lei nº 9.148/2016 — Quadro 11A
VA I,nR2-01,Sim,Lei nº 9.148/2016 — Quadro 11A
VE,nR2-01,Sim,Lei nº 9.148/2016 — Quadro 11A
VP,nR2-02,Sim,Lei nº 9.148/2016 — Quadro 11A
VL,nR2-02,Sim,Lei nº 9.148/2016 — Quadro 11A
VC II,nR2-02,Sim,Lei nº 9.148/2016 — Quadro 11A
VC I,nR2-02,Sim,Lei nº 9.148/2016 — Quadro 11A
VA II,nR2-02,Sim,Lei nº 9.148/2016 — Quadro 11A
VA I,nR2-02,Sim,Lei nº 9.148/2016 — Quadro 11A
VE,nR2-02,Sim,Lei nº 9.148/2016 — Quadro 11A
VP,nR2-04,Não,Lei nº 9.148/2016 — Quadro 11A
VL,nR2-04,Não,Lei nº 9.148/2016 — Quadro 11A
VC II,nR2-04,Sim,Lei nº 9.148/2016 — Quadro 11A
VC I,nR2-04,Sim,Lei nº 9.148/2016 — Quadro 11A
VA II,nR2-04,Sim,Lei nº 9.148/2016 — Quadro 11A
VA I,nR2-04,Sim,Lei nº 9.148/2016 — Quadro 11A
VE,nR2-04,Sim,Lei nº 9.148/2016 — Quadro 11A
